date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,849856.658,49012829.0,1.0,49862685.658,0.997254,50000000.0
2017-01-04,849856.658,49608941.0,0.997,50458797.658,1.009176,50000000.0
2017-01-05,849856.658,49643328.0,1.009,50493184.658,1.009864,50000000.0
2017-01-06,849856.658,49425264.0,1.01,50275120.658,1.005502,50000000.0
2017-01-09,849856.658,49803861.0,1.006,50653717.658,1.013074,50000000.0
2017-01-10,849856.658,49657515.0,1.013,50507371.658,1.010147,50000000.0
2017-01-11,849856.658,49160947.0,1.01,50010803.658,1.000216,50000000.0
2017-01-12,849856.658,48681304.0,1.0,49531160.658,0.990623,50000000.0
2017-01-13,849856.658,48049933.0,0.991,48899789.658,0.977996,50000000.0
2017-01-16,849856.658,46735995.0,0.978,47585851.658,0.951717,50000000.0
2017-01-17,849856.658,47149667.0,0.952,47999523.658,0.95999,50000000.0
2017-01-18,849856.658,47084353.0,0.96,47934209.658,0.958684,50000000.0
2017-01-19,849856.658,46904162.0,0.959,47754018.658,0.95508,50000000.0
2017-01-20,849856.658,47549289.0,0.955,48399145.658,0.967983,50000000.0
2017-01-23,849856.658,47947740.0,0.968,48797596.658,0.975952,50000000.0
2017-01-24,849856.658,47902184.0,0.976,48752040.658,0.975041,50000000.0
2017-01-25,849856.658,48017890.0,0.975,48867746.658,0.977355,50000000.0
2017-01-26,849856.658,48383602.0,0.977,49233458.658,0.984669,50000000.0
2017-02-03,849856.658,48239987.0,0.985,49089843.658,0.981797,50000000.0
2017-02-06,849856.658,48661938.0,0.982,49511794.658,0.990236,50000000.0
2017-02-07,849856.658,48632396.0,0.99,49482252.658,0.989645,50000000.0
2017-02-08,849856.658,48926879.0,0.99,49776735.658,0.995535,50000000.0
2017-02-09,849856.658,49256718.0,0.996,50106574.658,1.002131,50000000.0
2017-02-10,849856.658,49315263.0,1.002,50165119.658,1.003302,50000000.0
2017-02-13,849856.658,49582836.0,1.003,50432692.658,1.008654,50000000.0
2017-02-14,849856.658,49625791.0,1.009,50475647.658,1.009513,50000000.0
2017-02-15,849856.658,49106197.0,1.01,49956053.658,0.999121,50000000.0
2017-02-16,849856.658,49485746.0,0.999,50335602.658,1.006712,50000000.0
2017-02-17,849856.658,49059688.0,1.007,49909544.658,0.998191,50000000.0
2017-02-20,849856.658,49702360.0,0.998,50552216.658,1.011044,50000000.0
2017-02-21,849856.658,50104601.0,1.011,50954457.658,1.019089,50000000.0
2017-02-22,849856.658,50437764.0,1.019,51287620.658,1.025752,50000000.0
2017-02-23,849856.658,50434675.0,1.026,51284531.658,1.025691,50000000.0
2017-02-24,849856.658,50444567.0,1.026,51294423.658,1.025888,50000000.0
2017-02-27,849856.658,50019609.0,1.026,50869465.658,1.017389,50000000.0
2017-02-28,849856.658,50235448.0,1.017,51085304.658,1.021706,50000000.0
2017-03-01,849856.658,50365453.0,1.022,51215309.658,1.024306,50000000.0
2017-03-02,849856.658,50097037.0,1.024,50946893.658,1.018938,50000000.0
2017-03-03,850806.658,50246027.0,1.019,51096833.658,1.021937,50000000.0
2017-03-06,850806.658,50773850.0,1.022,51624656.658,1.032493,50000000.0
2017-03-07,850806.658,50829350.0,1.032,51680156.658,1.033603,50000000.0
2017-03-08,850806.658,50620885.0,1.034,51471691.658,1.029434,50000000.0
2017-03-09,850806.658,50150999.0,1.029,51001805.658,1.020036,50000000.0
2017-03-10,850806.658,50220338.0,1.02,51071144.658,1.021423,50000000.0
2017-03-13,850806.658,50719527.0,1.021,51570333.658,1.031407,50000000.0
2017-03-14,850806.658,50600614.0,1.031,51451420.658,1.029028,50000000.0
2017-03-15,850806.658,50553102.0,1.029,51403908.658,1.028078,50000000.0
2017-03-16,850806.658,51008008.0,1.028,51858814.658,1.037176,50000000.0
2017-03-17,850806.658,50527807.0,1.037,51378613.658,1.027572,50000000.0
2017-03-20,850806.658,50655640.0,1.028,51506446.658,1.030129,50000000.0
2017-03-21,850806.658,50792919.0,1.03,51643725.658,1.032875,50000000.0
2017-03-22,850806.658,50659806.0,1.033,51510612.658,1.030212,50000000.0
2017-03-23,850806.658,50750612.0,1.03,51601418.658,1.032028,50000000.0
2017-03-24,850806.658,51020908.0,1.032,51871714.658,1.037434,50000000.0
2017-03-27,850806.658,50777091.0,1.037,51627897.658,1.032558,50000000.0
2017-03-28,850806.658,50645072.0,1.033,51495878.658,1.029918,50000000.0
2017-03-29,850806.658,50513020.0,1.03,51363826.658,1.027277,50000000.0
2017-03-30,850806.658,49690740.0,1.027,50541546.658,1.010831,50000000.0
2017-03-31,850806.658,49892566.0,1.011,50743372.658,1.014867,50000000.0
2017-04-05,850806.658,51010336.0,1.015,51861142.658,1.037223,50000000.0
2017-04-06,850806.658,51178565.0,1.037,52029371.658,1.040587,50000000.0
2017-04-07,850806.658,51331694.0,1.041,52182500.658,1.04365,50000000.0
2017-04-10,850806.658,51240436.0,1.044,52091242.658,1.041825,50000000.0
2017-04-11,850806.658,51757781.0,1.042,52608587.658,1.052172,50000000.0
2017-04-12,850806.658,51284978.0,1.052,52135784.658,1.042716,50000000.0
2017-04-13,860756.658,51618290.0,1.043,52479046.658,1.049581,50000000.0
2017-04-14,861456.658,50905108.0,1.05,51766564.658,1.035331,50000000.0
2017-04-17,861456.658,50352850.0,1.035,51214306.658,1.024286,50000000.0
2017-04-18,861456.658,50065290.0,1.024,50926746.658,1.018535,50000000.0
2017-04-19,862786.258,49556525.0,1.019,50419311.258,1.008386,50000000.0
2017-04-20,862786.258,49538741.0,1.008,50401527.258,1.008031,50000000.0
2017-04-21,865065.458,49150933.0,1.008,50015998.458,1.00032,50000000.0
2017-04-24,870595.458,47868086.0,1.0,48738681.458,0.974774,50000000.0
2017-04-25,870595.458,48057705.0,0.975,48928300.458,0.978566,50000000.0
