date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,216904.333,49644013.0,1.0,49860917.333,0.997218,50000000.0
2017-01-04,216904.333,50313042.0,0.997,50529946.333,1.010599,50000000.0
2017-01-05,216904.333,50436253.0,1.011,50653157.333,1.013063,50000000.0
2017-01-06,216904.333,49991400.0,1.013,50208304.333,1.004166,50000000.0
2017-01-09,265.838,50542098.0,1.004,50542363.838,1.010847,50000000.0
2017-01-10,265.838,50464929.0,1.011,50465194.838,1.009304,50000000.0
2017-01-11,265.838,49873191.0,1.009,49873456.838,0.997469,50000000.0
2017-01-12,265.838,49329695.0,0.997,49329960.838,0.986599,50000000.0
2017-01-13,265.838,48621575.0,0.987,48621840.838,0.972437,50000000.0
2017-01-16,265.838,47566756.0,0.972,47567021.838,0.95134,50000000.0
2017-01-17,265.838,48146816.0,0.951,48147081.838,0.962942,50000000.0
2017-01-18,265.838,48356229.0,0.963,48356494.838,0.96713,50000000.0
2017-01-19,265.838,48234134.0,0.967,48234399.838,0.964688,50000000.0
2017-01-20,265.838,49009942.0,0.965,49010207.838,0.980204,50000000.0
2017-01-23,102287.828,49550952.25,0.98,49653240.078,0.993065,50000000.0
2017-01-24,102287.828,49675872.7,0.993,49778160.528,0.995563,50000000.0
2017-01-25,102287.828,49622306.94,0.996,49724594.768,0.994492,50000000.0
2017-01-26,102287.828,49901155.1,0.994,50003442.928,1.000069,50000000.0
2017-02-03,344.442,49996574.78,1.0,49996919.222,0.999938,50000000.0
2017-02-06,24101.13,50310336.05,1.0,50334437.18,1.006689,50000000.0
2017-02-07,24101.13,50300913.81,1.007,50325014.94,1.0065,50000000.0
2017-02-08,24101.13,50606932.55,1.007,50631033.68,1.012621,50000000.0
2017-02-09,24101.13,50935064.0,1.013,50959165.13,1.019183,50000000.0
2017-02-10,24101.13,51171455.82,1.019,51195556.95,1.023911,50000000.0
2017-02-13,103.33,51508401.81,1.024,51508505.14,1.03017,50000000.0
2017-02-14,103.33,51532893.18,1.03,51532996.51,1.03066,50000000.0
2017-02-15,103.33,50868170.94,1.031,50868274.27,1.017365,50000000.0
2017-02-16,103.33,51337511.37,1.017,51337614.7,1.026752,50000000.0
2017-02-17,103.33,50842578.08,1.027,50842681.41,1.016854,50000000.0
2017-02-20,103.33,51853224.48,1.017,51853327.81,1.037067,50000000.0
2017-02-21,103.33,52227357.98,1.037,52227461.31,1.044549,50000000.0
2017-02-22,103.33,52777344.84,1.045,52777448.17,1.055549,50000000.0
2017-02-23,103.33,52424614.67,1.056,52424718.0,1.048494,50000000.0
2017-02-24,103.33,52224769.08,1.048,52224872.41,1.044497,50000000.0
2017-02-27,103.33,51827468.78,1.044,51827572.11,1.036551,50000000.0
2017-02-28,103.33,52078785.68,1.037,52078889.01,1.041578,50000000.0
2017-03-01,103.33,52203655.13,1.042,52203758.46,1.044075,50000000.0
2017-03-02,103.33,52069912.27,1.044,52070015.6,1.0414,50000000.0
2017-03-03,103.33,52017464.6,1.041,52017567.93,1.040351,50000000.0
2017-03-06,405.96,52548352.16,1.04,52548758.12,1.050975,50000000.0
2017-03-07,405.96,52642317.46,1.051,52642723.42,1.052854,50000000.0
2017-03-08,405.96,52526894.86,1.053,52527300.82,1.050546,50000000.0
2017-03-09,405.96,51938971.57,1.051,51939377.53,1.038788,50000000.0
2017-03-10,405.96,52174329.27,1.039,52174735.23,1.043495,50000000.0
2017-03-13,54.268,52762179.97,1.043,52762234.238,1.055245,50000000.0
2017-03-14,54.268,52579037.47,1.055,52579091.738,1.051582,50000000.0
2017-03-15,1044.268,52687545.75,1.052,52688590.018,1.053772,50000000.0
2017-03-16,1044.268,53125281.02,1.054,53126325.288,1.062527,50000000.0
2017-03-17,1044.268,52598012.45,1.063,52599056.718,1.051981,50000000.0
2017-03-20,463.118,52782992.95,1.052,52783456.068,1.055669,50000000.0
2017-03-21,463.118,53058644.72,1.056,53059107.838,1.061182,50000000.0
2017-03-22,463.118,52976519.37,1.061,52976982.488,1.05954,50000000.0
2017-03-23,463.118,53362531.28,1.06,53362994.398,1.06726,50000000.0
2017-03-24,463.118,53739769.94,1.067,53740233.058,1.074805,50000000.0
2017-03-27,11018.21,53469483.71,1.075,53480501.92,1.06961,50000000.0
2017-03-28,11018.21,53137561.6,1.07,53148579.81,1.062972,50000000.0
2017-03-29,14043.44,52834033.58,1.063,52848077.02,1.056962,50000000.0
2017-03-30,14043.44,51989074.92,1.057,52003118.36,1.040062,50000000.0
2017-03-31,14043.44,52249338.45,1.04,52263381.89,1.045268,50000000.0
2017-04-05,-5.962,53156101.67,1.045,53156095.708,1.063122,50000000.0
2017-04-06,-5.962,53273240.53,1.063,53273234.568,1.065465,50000000.0
2017-04-07,6186.038,53364124.08,1.065,53370310.118,1.067406,50000000.0
2017-04-10,1.034,53229180.82,1.067,53229181.854,1.064584,50000000.0
2017-04-11,1.034,53615164.93,1.065,53615165.964,1.072303,50000000.0
2017-04-12,1.034,53542056.88,1.072,53542057.914,1.070841,50000000.0
2017-04-13,1.034,54046468.32,1.071,54046469.354,1.080929,50000000.0
2017-04-14,1.034,53398843.38,1.081,53398844.414,1.067977,50000000.0
2017-04-17,38.155,52906551.26,1.068,52906589.415,1.058132,50000000.0
2017-04-18,38.155,52948847.1,1.058,52948885.255,1.058978,50000000.0
2017-04-19,1078.155,52700660.24,1.059,52701738.395,1.054035,50000000.0
2017-04-20,1078.155,52853650.02,1.054,52854728.175,1.057095,50000000.0
2017-04-21,1938.155,52637946.24,1.057,52639884.395,1.052798,50000000.0
2017-04-24,281897.255,51143960.54,1.053,51425857.795,1.028517,50000000.0
2017-04-25,285977.255,51609188.37,1.029,51895165.625,1.037903,50000000.0
2017-04-26,286354.255,51691347.54,1.038,51977701.795,1.039554,50000000.0
2017-04-27,331045.575,51692061.17,1.04,52023106.745,1.040462,50000000.0
