date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,1035377.963,48827826.0,1.0,49863203.963,0.997264,50000000.0
2017-01-04,1035377.963,49126130.0,0.997,50161507.963,1.00323,50000000.0
2017-01-05,1035377.963,49191891.0,1.003,50227268.963,1.004545,50000000.0
2017-01-06,1035377.963,48910636.0,1.005,49946013.963,0.99892,50000000.0
2017-01-09,1029750.399,49175239.07,0.999,50204989.469,1.0041,50000000.0
2017-01-10,1029750.399,49033291.65,1.004,50063042.049,1.001261,50000000.0
2017-01-11,1029750.399,48688669.3,1.001,49718419.699,0.994368,50000000.0
2017-01-12,1029750.399,48494361.22,0.994,49524111.619,0.990482,50000000.0
2017-01-13,1029750.399,48705530.62,0.99,49735281.019,0.994706,50000000.0
2017-01-16,1019189.791,49295509.3,0.995,50314699.091,1.006294,50000000.0
2017-01-17,1019189.791,49118000.01,1.006,50137189.801,1.002744,50000000.0
2017-01-18,1019189.791,49333214.17,1.003,50352403.961,1.007048,50000000.0
2017-01-19,1019189.791,49130362.94,1.007,50149552.731,1.002991,50000000.0
2017-01-20,1019189.791,49424120.91,1.003,50443310.701,1.008866,50000000.0
2017-01-23,1014757.102,49486561.23,1.009,50501318.332,1.010026,50000000.0
2017-01-24,1014757.102,49538893.68,1.01,50553650.782,1.011073,50000000.0
2017-01-25,1014757.102,49664217.04,1.011,50678974.142,1.013579,50000000.0
2017-01-26,1014757.102,49773303.96,1.014,50788061.062,1.015761,50000000.0
2017-02-03,1035976.906,49347921.75,1.016,50383898.656,1.007678,50000000.0
2017-02-06,1028595.291,49449252.75,1.008,50477848.041,1.009557,50000000.0
2017-02-07,1028595.291,49314818.59,1.01,50343413.881,1.006868,50000000.0
2017-02-08,1028595.291,49627046.77,1.007,50655642.061,1.013113,50000000.0
2017-02-09,1028595.291,49853917.84,1.013,50882513.131,1.01765,50000000.0
2017-02-10,1028595.291,50144248.03,1.018,51172843.321,1.023457,50000000.0
2017-02-13,1079870.838,50332305.68,1.023,51412176.518,1.028244,50000000.0
2017-02-14,1079870.838,50309180.99,1.028,51389051.828,1.027781,50000000.0
2017-02-15,1079870.838,50119174.03,1.028,51199044.868,1.023981,50000000.0
2017-02-16,1079870.838,50327184.78,1.024,51407055.618,1.028141,50000000.0
2017-02-17,1079870.838,49978934.82,1.028,51058805.658,1.021176,50000000.0
2017-02-20,1016656.25,50618398.63,1.021,51635054.88,1.032701,50000000.0
2017-02-21,1016656.25,50721985.68,1.033,51738641.93,1.034773,50000000.0
2017-02-22,1016656.25,50723024.98,1.035,51739681.23,1.034794,50000000.0
2017-02-23,1016656.25,50422397.21,1.035,51439053.46,1.028781,50000000.0
2017-02-24,1016656.25,50535252.07,1.029,51551908.32,1.031038,50000000.0
2017-02-27,1036440.919,50044546.31,1.031,51080987.229,1.02162,50000000.0
2017-02-28,1036440.919,50128641.45,1.022,51165082.369,1.023302,50000000.0
2017-03-01,1036440.919,50187900.13,1.023,51224341.049,1.024487,50000000.0
2017-03-02,1036440.919,49855826.38,1.024,50892267.299,1.017845,50000000.0
2017-03-03,1036440.919,49602417.61,1.018,50638858.529,1.012777,50000000.0
2017-03-06,1028697.952,49744857.81,1.013,50773555.762,1.015471,50000000.0
2017-03-07,1028697.952,49819059.33,1.015,50847757.282,1.016955,50000000.0
2017-03-08,1028697.952,49846519.93,1.017,50875217.882,1.017504,50000000.0
2017-03-09,1028697.952,49599203.28,1.018,50627901.232,1.012558,50000000.0
2017-03-10,1028697.952,49411760.39,1.013,50440458.342,1.008809,50000000.0
2017-03-13,1041573.271,49713372.5,1.009,50754945.771,1.015099,50000000.0
2017-03-14,1041573.271,49718643.61,1.015,50760216.881,1.015204,50000000.0
2017-03-15,1041573.271,49802351.96,1.015,50843925.231,1.016879,50000000.0
2017-03-16,1041573.271,50173979.06,1.017,51215552.331,1.024311,50000000.0
2017-03-17,1041573.271,49657377.22,1.024,50698950.491,1.013979,50000000.0
2017-03-20,1032928.457,49816730.82,1.014,50849659.277,1.016993,50000000.0
2017-03-21,1032928.457,49961134.62,1.017,50994063.077,1.019881,50000000.0
2017-03-22,1032928.457,49600263.83,1.02,50633192.287,1.012664,50000000.0
2017-03-23,1032928.457,49757140.54,1.013,50790068.997,1.015801,50000000.0
2017-03-24,1032928.457,50146506.69,1.016,51179435.147,1.023589,50000000.0
2017-03-27,1058602.59,50040730.7,1.024,51099333.29,1.021987,50000000.0
2017-03-28,1058602.59,49811308.95,1.022,50869911.54,1.017398,50000000.0
2017-03-29,1079838.09,49725989.68,1.017,50805827.77,1.016117,50000000.0
2017-03-30,1079838.09,49568937.68,1.016,50648775.77,1.012976,50000000.0
2017-03-31,1079838.09,49763503.05,1.013,50843341.14,1.016867,50000000.0
2017-04-05,1054768.161,50443358.81,1.017,51498126.971,1.029963,50000000.0
2017-04-06,1054768.161,50573230.98,1.03,51627999.141,1.03256,50000000.0
2017-04-07,1054768.161,50658527.27,1.033,51713295.431,1.034266,50000000.0
2017-04-10,1099333.137,50422358.23,1.034,51521691.367,1.030434,50000000.0
2017-04-11,1099333.137,50621903.57,1.03,51721236.707,1.034425,50000000.0
2017-04-12,1099333.137,50583030.72,1.034,51682363.857,1.033647,50000000.0
2017-04-13,1099333.137,50342018.67,1.034,51441351.807,1.028827,50000000.0
2017-04-14,1099333.137,50055411.29,1.029,51154744.427,1.023095,50000000.0
2017-04-17,1072261.668,50057400.49,1.023,51129662.158,1.022593,50000000.0
2017-04-18,1072261.668,49559387.99,1.023,50631649.658,1.012633,50000000.0
2017-04-19,1072261.668,49288606.38,1.013,50360868.048,1.007217,50000000.0
2017-04-20,1072261.668,49470245.9,1.007,50542507.568,1.01085,50000000.0
2017-04-21,1072261.668,49719546.73,1.011,50791808.398,1.015836,50000000.0
2017-04-24,1062047.175,49553624.81,1.016,50615671.985,1.012313,50000000.0
2017-04-25,1062047.175,49437523.26,1.012,50499570.435,1.009991,50000000.0
2017-04-26,1062047.175,49320081.17,1.01,50382128.345,1.007643,50000000.0
2017-04-27,1062047.175,49452504.49,1.008,50514551.665,1.010291,50000000.0
2017-04-28,1066049.989,49406495.54,1.01,50472545.529,1.009451,50000000.0
2017-05-02,1066060.333,49227174.58,1.009,50293234.913,1.005865,50000000.0
2017-05-03,1066060.333,49089443.23,1.006,50155503.563,1.00311,50000000.0
2017-05-04,1066060.333,48995979.94,1.003,50062040.273,1.001241,50000000.0
2017-05-05,1066060.333,48874858.29,1.001,49940918.623,0.998818,50000000.0
2017-05-08,1024657.124,49011290.86,0.999,50035947.984,1.000719,50000000.0
2017-05-09,1057337.324,48760961.04,1.001,49818298.364,0.996366,50000000.0
2017-05-10,1057337.324,48617411.59,0.996,49674748.914,0.993495,50000000.0
2017-05-11,1057337.324,48886843.47,0.993,49944180.794,0.998884,50000000.0
2017-05-12,1057337.324,49381146.24,0.999,50438483.564,1.00877,50000000.0
2017-05-15,1087976.714,49439646.08,1.009,50527622.794,1.010552,50000000.0
2017-05-16,1087976.714,49458487.87,1.011,50546464.584,1.010929,50000000.0
2017-05-17,1092345.514,49179447.96,1.011,50271793.474,1.005436,50000000.0
2017-05-18,1092345.514,48835327.0,1.005,49927672.514,0.998553,50000000.0
2017-05-19,1092345.514,48790108.82,0.999,49882454.334,0.997649,50000000.0
2017-05-22,1044247.141,48979421.84,0.998,50023668.981,1.000473,50000000.0
2017-05-23,1044247.141,49364282.81,1.0,50408529.951,1.008171,50000000.0
2017-05-24,1044247.141,49290837.88,1.008,50335085.021,1.006702,50000000.0
2017-05-25,1057530.341,50390021.584,1.007,51447551.925,1.028951,50000000.0
2017-05-26,1057530.341,50418143.252,1.029,51475673.593,1.029513,50000000.0
2017-05-31,1225121.54,50523675.362,1.03,51748796.902,1.034976,50000000.0
2017-06-01,1225121.54,50685716.716,1.035,51910838.256,1.038217,50000000.0
2017-06-02,1225121.54,50345612.382,1.038,51570733.922,1.031415,50000000.0
2017-06-05,1219742.795,49969053.25,1.031,51188796.045,1.023776,50000000.0
2017-06-06,1224392.565,50161736.91,1.024,51386129.475,1.027723,50000000.0
2017-06-07,1224392.565,50517551.162,1.028,51741943.727,1.034839,50000000.0
2017-06-08,1224392.565,50797154.622,1.035,52021547.187,1.040431,50000000.0
2017-06-09,1257778.785,50959808.714,1.04,52217587.499,1.044352,50000000.0
2017-06-12,1225128.359,50871744.644,1.044,52096873.003,1.041937,50000000.0
2017-06-13,1225128.359,50829903.002,1.042,52055031.361,1.041101,50000000.0
2017-06-14,1297168.649,50356061.148,1.041,51653229.797,1.033065,50000000.0
2017-06-15,1297168.649,50330346.204,1.033,51627514.853,1.03255,50000000.0
2017-06-16,1384449.804,50182026.31,1.033,51566476.114,1.03133,50000000.0
2017-06-19,1164218.546,50904974.52,1.031,52069193.066,1.041384,50000000.0
2017-06-20,1164218.546,50729548.532,1.041,51893767.078,1.037875,50000000.0
2017-06-21,1164218.546,50964106.712,1.038,52128325.258,1.042567,50000000.0
2017-06-22,1169342.484,51259741.396,1.043,52429083.88,1.048582,50000000.0
2017-06-23,1169342.484,51386909.702,1.049,52556252.186,1.051125,50000000.0
2017-06-26,1259809.77,51630897.302,1.051,52890707.072,1.057814,50000000.0
2017-06-27,1259809.77,51729422.38,1.058,52989232.15,1.059785,50000000.0
2017-06-28,1259809.77,51501395.172,1.06,52761204.942,1.055224,50000000.0
2017-06-29,1310656.09,51614738.528,1.055,52925394.618,1.058508,50000000.0
2017-06-30,1324012.368,51590765.17,1.059,52914777.538,1.058296,50000000.0
2017-07-03,1313023.013,51417428.138,1.058,52730451.151,1.054609,50000000.0
2017-07-04,1313023.013,51098627.55,1.055,52411650.563,1.048233,50000000.0
2017-07-05,1338629.825,51560585.936,1.048,52899215.761,1.057984,50000000.0
2017-07-06,1376866.92,51620314.538,1.058,52997181.458,1.059944,50000000.0
2017-07-07,1438593.505,51782166.84,1.06,53220760.345,1.064415,50000000.0
2017-07-10,1395478.597,52003890.474,1.064,53399369.071,1.067987,50000000.0
2017-07-11,1454964.479,52244342.39,1.068,53699306.869,1.073986,50000000.0
2017-07-12,1484040.729,52157901.558,1.074,53641942.287,1.072839,50000000.0
2017-07-13,1535273.629,53023608.026,1.073,54558881.655,1.091178,50000000.0
2017-07-14,1583844.949,53269729.952,1.091,54853574.901,1.097071,50000000.0
2017-07-17,1690706.356,53125890.448,1.097,54816596.804,1.096332,50000000.0
2017-07-18,1690706.356,53174299.98,1.096,54865006.336,1.0973,50000000.0
2017-07-19,1748771.516,54065157.562,1.097,55813929.078,1.116279,50000000.0
2017-07-20,1748771.516,54145825.466,1.116,55894596.982,1.117892,50000000.0
2017-07-21,1760405.411,53748646.96,1.118,55509052.371,1.110181,50000000.0
2017-07-24,1745965.788,53825641.626,1.11,55571607.414,1.111432,50000000.0
2017-07-25,1745965.788,53464045.218,1.111,55210011.006,1.1042,50000000.0
2017-07-26,1758936.688,53494698.084,1.104,55253634.772,1.105073,50000000.0
2017-07-27,1790321.338,53567247.764,1.105,55357569.102,1.107151,50000000.0
2017-07-28,1790321.338,53523257.036,1.107,55313578.374,1.106272,50000000.0
2017-07-31,1705089.705,53814220.228,1.106,55519309.933,1.110386,50000000.0
2017-08-01,1705089.705,54385015.304,1.11,56090105.009,1.121802,50000000.0
2017-08-02,1758733.605,54244107.362,1.122,56002840.967,1.120057,50000000.0
2017-08-03,1758733.605,53758437.814,1.12,55517171.419,1.110343,50000000.0
