date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,775878.981,49086600.0,1.0,49862478.981,0.99725,50000000.0
2017-01-04,775878.981,49669976.0,0.997,50445854.981,1.008917,50000000.0
2017-01-05,775878.981,49706839.0,1.009,50482717.981,1.009654,50000000.0
2017-01-06,775878.981,49504388.0,1.01,50280266.981,1.005605,50000000.0
2017-01-09,775878.981,49885401.0,1.006,50661279.981,1.013226,50000000.0
2017-01-10,775878.981,49748556.0,1.013,50524434.981,1.010489,50000000.0
2017-01-11,775878.981,49227114.0,1.01,50002992.981,1.00006,50000000.0
2017-01-12,775878.981,48757453.0,1.0,49533331.981,0.990667,50000000.0
2017-01-13,775878.981,48069348.0,0.991,48845226.981,0.976905,50000000.0
2017-01-16,775878.981,46614227.0,0.977,47390105.981,0.947802,50000000.0
2017-01-17,775878.981,47043534.0,0.948,47819412.981,0.956388,50000000.0
2017-01-18,775878.981,46977199.0,0.956,47753077.981,0.955062,50000000.0
2017-01-19,775878.981,46790462.0,0.955,47566340.981,0.951327,50000000.0
2017-01-20,775878.981,47446276.0,0.951,48222154.981,0.964443,50000000.0
2017-01-23,775878.981,47859998.0,0.964,48635876.981,0.972718,50000000.0
2017-01-24,775878.981,47798812.0,0.973,48574690.981,0.971494,50000000.0
2017-01-25,775878.981,47893197.0,0.971,48669075.981,0.973382,50000000.0
2017-01-26,775878.981,48239022.0,0.973,49014900.981,0.980298,50000000.0
2017-02-03,775878.981,48096107.0,0.98,48871985.981,0.97744,50000000.0
2017-02-06,775878.981,48522937.0,0.977,49298815.981,0.985976,50000000.0
2017-02-07,775878.981,48503011.0,0.986,49278889.981,0.985578,50000000.0
2017-02-08,775878.981,48817033.0,0.986,49592911.981,0.991858,50000000.0
2017-02-09,775878.981,49198138.0,0.992,49974016.981,0.99948,50000000.0
2017-02-10,775878.981,49297062.0,0.999,50072940.981,1.001459,50000000.0
2017-02-13,775878.981,49574124.0,1.001,50350002.981,1.007,50000000.0
2017-02-14,775878.981,49631941.0,1.007,50407819.981,1.008156,50000000.0
2017-02-15,775878.981,49101824.0,1.008,49877702.981,0.997554,50000000.0
2017-02-16,775878.981,49510279.0,0.998,50286157.981,1.005723,50000000.0
2017-02-17,775878.981,49085955.0,1.006,49861833.981,0.997237,50000000.0
2017-02-20,775878.981,49746216.0,0.997,50522094.981,1.010442,50000000.0
2017-02-21,775878.981,50147706.0,1.01,50923584.981,1.018472,50000000.0
2017-02-22,775878.981,50491395.0,1.018,51267273.981,1.025345,50000000.0
2017-02-23,775878.981,50425861.0,1.025,51201739.981,1.024035,50000000.0
2017-02-24,775878.981,50450120.0,1.024,51225998.981,1.02452,50000000.0
2017-02-27,775878.981,50008904.0,1.025,50784782.981,1.015696,50000000.0
2017-02-28,775878.981,50240640.0,1.016,51016518.981,1.02033,50000000.0
2017-03-01,775878.981,50387402.0,1.02,51163280.981,1.023266,50000000.0
2017-03-02,775878.981,50105544.0,1.023,50881422.981,1.017628,50000000.0
2017-03-03,777843.981,50207490.0,1.018,50985333.981,1.019707,50000000.0
2017-03-06,777843.981,50725311.0,1.02,51503154.981,1.030063,50000000.0
2017-03-07,777843.981,50752206.0,1.03,51530049.981,1.030601,50000000.0
2017-03-08,777843.981,50548495.0,1.031,51326338.981,1.026527,50000000.0
2017-03-09,777843.981,50069110.0,1.027,50846953.981,1.016939,50000000.0
2017-03-10,777843.981,50119542.0,1.017,50897385.981,1.017948,50000000.0
2017-03-13,777843.981,50604644.0,1.018,51382487.981,1.02765,50000000.0
2017-03-14,777843.981,50470425.0,1.028,51248268.981,1.024965,50000000.0
2017-03-15,777843.981,50421989.0,1.025,51199832.981,1.023997,50000000.0
2017-03-16,777843.981,50894283.0,1.024,51672126.981,1.033443,50000000.0
2017-03-17,777843.981,50436612.0,1.033,51214455.981,1.024289,50000000.0
2017-03-20,777843.981,50610026.0,1.024,51387869.981,1.027757,50000000.0
2017-03-21,777843.981,50686272.0,1.028,51464115.981,1.029282,50000000.0
2017-03-22,777843.981,50501363.0,1.029,51279206.981,1.025584,50000000.0
2017-03-23,777843.981,50610029.0,1.026,51387872.981,1.027757,50000000.0
2017-03-24,777843.981,50878263.0,1.028,51656106.981,1.033122,50000000.0
2017-03-27,777843.981,50662225.0,1.033,51440068.981,1.028801,50000000.0
2017-03-28,777843.981,50524988.0,1.029,51302831.981,1.026057,50000000.0
2017-03-29,777843.981,50364945.0,1.026,51142788.981,1.022856,50000000.0
2017-03-30,777843.981,49517925.0,1.023,50295768.981,1.005915,50000000.0
2017-03-31,777843.981,49648146.0,1.006,50425989.981,1.00852,50000000.0
2017-04-05,777843.981,50788702.0,1.009,51566545.981,1.031331,50000000.0
2017-04-06,777843.981,50973777.0,1.031,51751620.981,1.035032,50000000.0
2017-04-07,777843.981,51119489.0,1.035,51897332.981,1.037947,50000000.0
2017-04-10,777843.981,51026529.0,1.038,51804372.981,1.036087,50000000.0
2017-04-11,777843.981,51592985.0,1.036,52370828.981,1.047417,50000000.0
2017-04-12,777843.981,51119531.0,1.047,51897374.981,1.037947,50000000.0
2017-04-13,783793.981,51464147.0,1.038,52247940.981,1.044959,50000000.0
2017-04-14,784443.981,50732629.0,1.045,51517072.981,1.030341,50000000.0
2017-04-17,784443.981,50110776.0,1.03,50895219.981,1.017904,50000000.0
2017-04-18,784443.981,49813925.0,1.018,50598368.981,1.011967,50000000.0
2017-04-19,786351.881,49270339.0,1.012,50056690.881,1.001134,50000000.0
2017-04-20,786351.881,49211595.0,1.001,49997946.881,0.999959,50000000.0
2017-04-21,787948.381,48829840.0,1.0,49617788.381,0.992356,50000000.0
2017-04-24,792158.381,47461795.0,0.992,48253953.381,0.965079,50000000.0
2017-04-25,792158.381,47649564.0,0.965,48441722.381,0.968834,50000000.0
2017-04-26,792790.881,47788677.0,0.969,48581467.881,0.971629,50000000.0
